concept_set_id,concept_id,code,label
CL_PREGNANCY_OUTCOME,10000000950,INDUCED_ABORTION,인공유산
CL_PREGNANCY_OUTCOME,10000000951,ECTOPIC,자궁외임신
CL_PREGNANCY_OUTCOME,10000000952,ONGOING,임신 중
CL_PRIMARY_INVOLVED_SITE,10000000953,NODAL,림프절(말초)
CL_PRIMARY_INVOLVED_SITE,10000000954,MEDIASTINAL,종격동
CL_PRIMARY_INVOLVED_SITE,10000000955,WALDEYER,발다이어고리
CL_PRIMARY_INVOLVED_SITE,10000000956,EXTRANODAL_GI,결절외-위장관
CL_PRIMARY_INVOLVED_SITE,10000000957,EXTRANODAL_SKIN,결절외-피부
CL_PRIMARY_INVOLVED_SITE,10000000958,EXTRANODAL_CNS,결절외-중추신경계
CL_PRIMARY_INVOLVED_SITE,10000000959,EXTRANODAL_BONE,결절외-골
CL_PRIMARY_INVOLVED_SITE,10000000960,EXTRANODAL_OTHER,결절외-기타
CL_PRIMARY_SIDEDNESS,10000000961,RIGHT,우측(맹장~횡행결장)
CL_PRIMARY_SIDEDNESS,10000000962,LEFT,좌측(비만곡부~S상결장)
CL_PRIMARY_SIDEDNESS,10000000963,RECTUM,직장
CL_PRIMARY_SIDEDNESS,10000000964,MULTIPLE,다발성·양측성
CL_PRIMARY_SITE,10000000965,RUL,우상엽
CL_PRIMARY_SITE,10000000966,RML,우중엽
CL_PRIMARY_SITE,10000000967,RLL,우하엽
CL_PRIMARY_SITE,10000000968,LUL,좌상엽
CL_PRIMARY_SITE,10000000969,LLL,좌하엽
CL_PRIMARY_SITE,10000000970,MAIN_BRONCHUS,주기관지
CL_PRIMARY_SITE,10000000971,OVERLAPPING,중복 병변
CL_PRIMARY_SITE,10000000972,UNSPECIFIED,불명확
CL_RESECTION_COMPLETENESS,10000000973,CURATIVE,근치적 절제(R0)
CL_RESECTION_COMPLETENESS,10000000974,NONCURATIVE,비근치적 절제(R1/R2)
CL_RESECTION_COMPLETENESS,10000000975,UNDETERMINED,미확정
CL_RESECTION_MARGIN_STATUS,10000000976,R0,R0(음성)
CL_RESECTION_MARGIN_STATUS,10000000977,R1,R1(현미경적 잔존)
CL_RESECTION_MARGIN_STATUS,10000000978,R2,R2(육안적 잔존)
CL_RESECTION_MARGIN_STATUS,10000000979,RX,평가 불가
CL_RESIDUAL_TUMOR_R_CLASS,10000000980,R0,R0(잔존 없음)
CL_RESIDUAL_TUMOR_R_CLASS,10000000981,R1,R1(현미경적 잔존)
CL_RESIDUAL_TUMOR_R_CLASS,10000000982,R2,R2(육안적 잔존)
CL_RESIDUAL_TUMOR_R_CLASS,10000000983,RX,평가 불가
CL_STAGING_METHOD,10000000984,CLINICAL,임상적(진찰·영상)
CL_STAGING_METHOD,10000000985,PATHOLOGIC,병리적(수술 후)
CL_STAGING_METHOD,10000000986,PET_CT,PET-CT 기반
CL_STAGING_METHOD,10000000987,BONE_MARROW,골수생검 기반
CL_STAGING_METHOD,10000000988,COMBINED,임상+병리 병합
CL_STOMA_REASON,10000000989,DIVERTING,전환·보호 장루
CL_STOMA_REASON,10000000990,OBSTRUCTION,장폐색
CL_STOMA_REASON,10000000991,PERFORATION,천공
CL_STOMA_REASON,10000000992,LEAK_PREVENTION,문합부 누출 예방
CL_STOMA_REASON,10000000993,PERMANENT,영구 장루(APR 등)
CL_STOMA_REASON,10000000994,OTHER,기타
CL_SURGICAL_HISTOLOGIC_GRADE,10000000995,G1,Grade 1 (고분화)
CL_SURGICAL_HISTOLOGIC_GRADE,10000000996,G2,Grade 2 (중분화)
CL_SURGICAL_HISTOLOGIC_GRADE,10000000997,G3,Grade 3 (저분화)
CL_SURGICAL_HISTOLOGIC_GRADE,10000000998,G4,Grade 4 (미분화)
CL_SURGICAL_HISTOLOGIC_GRADE,10000000999,GX,평가 불가
CL_SURGICAL_SPECIMEN_LATERALITY,10000001000,RIGHT,우측
CL_SURGICAL_SPECIMEN_LATERALITY,10000001001,LEFT,좌측
CL_SURGICAL_SPECIMEN_LATERALITY,10000001002,BILATERAL,양측
CL_SURGICAL_SPECIMEN_LATERALITY,10000001003,NA,해당없음(정중)
CL_SURGICAL_SPECIMEN_SITE,10000001004,PRIMARY,원발 부위
CL_SURGICAL_SPECIMEN_SITE,10000001005,REGIONAL_NODE,국소 림프절
CL_SURGICAL_SPECIMEN_SITE,10000001006,MARGIN,절제연
CL_SURGICAL_SPECIMEN_SITE,10000001007,OTHER,기타(직접 기재)
CL_TME_QUALITY,10000001008,COMPLETE,완전(Grade 3)
CL_TME_QUALITY,10000001009,NEARLY_COMPLETE,거의 완전(Grade 2)
CL_TME_QUALITY,10000001010,INCOMPLETE,불완전(Grade 1)
CL_TUMOR_BUDDING_GRADE,10000001011,BD1,"Bd1(저등급, 0~4개)"
CL_TUMOR_BUDDING_GRADE,10000001012,BD2,"Bd2(중등도, 5~9개)"
CL_TUMOR_BUDDING_GRADE,10000001013,BD3,"Bd3(고등급, ≥10개)"
CL_VPI_GRADE,10000001014,PL0,PL0(침범 없음)
CL_VPI_GRADE,10000001015,PL1,PL1(탄력층 넘어 침범)
CL_VPI_GRADE,10000001016,PL2,PL2(장측흉막 표면 침범)
CL_VPI_GRADE,10000001017,PL3,PL3(벽측흉막 침범)
CL_WATCH_AND_WAIT_STATUS,10000001018,ONGOING,경과관찰 중
CL_WATCH_AND_WAIT_STATUS,10000001019,REGROWTH,국소 재성장
CL_WATCH_AND_WAIT_STATUS,10000001020,CONVERTED_SURGERY,수술로 전환
CL_WATCH_AND_WAIT_STATUS,10000001021,SUSTAINED_CCR,지속적 임상완전관해
COMORBIDITY_SET,10000001022,HTN,고혈압
COMORBIDITY_SET,10000001023,T2DM,제2형 당뇨병
COMORBIDITY_SET,10000001024,DYSLIPIDEMIA,이상지질혈증
COMORBIDITY_SET,10000001025,CVD,심혈관질환
COMORBIDITY_SET,10000001026,CEREBROVASCULAR,뇌혈관질환
COMORBIDITY_SET,10000001027,CKD,만성콩팥병
COMORBIDITY_SET,10000001028,PANCREATIC,췌장질환
COMORBIDITY_SET,10000001029,HBV,B형간염
COMORBIDITY_SET,10000001030,HCV,C형간염
COMORBIDITY_SET,10000001031,HIV,HIV 감염
COMORBIDITY_SET,10000001032,TB,결핵
COMORBIDITY_SET,10000001033,HEART_DISEASE,심장질환
COMORBIDITY_SET,10000001034,OTHER_RESPIRATORY,기타 호흡기질환
COMORBIDITY_SET,10000001035,COLORECTAL_DISEASE,대장 질환
COMORBIDITY_SET,10000001036,KIDNEY_DISEASE,신장 질환
COMORBIDITY_SET,10000001037,LIVER_DISEASE,간질환
COMORBIDITY_SET,10000001038,HYPOTHYROIDISM,갑상선기능저하증
COMORBIDITY_SET,10000001039,BARIATRIC_SURGERY_HX,비만대사수술 과거력
COMORBIDITY_SET,10000001040,HEREDITARY_CRC,유전성 대장암
COMORBIDITY_SET,10000001041,CANCER_HX,암 과거력
DRUG_CLASS_SET,10000001042,INSULIN,인슐린
DRUG_CLASS_SET,10000001043,METFORMIN,메트포르민
DRUG_CLASS_SET,10000001044,SGLT2I,SGLT2 억제제
DRUG_CLASS_SET,10000001045,GLP1RA,GLP-1 수용체 작용제
DRUG_CLASS_SET,10000001046,DPP4I,DPP-4 억제제
DRUG_CLASS_SET,10000001047,ANTI_CD20,Anti-CD20 항체
DRUG_CLASS_SET,10000001048,ANTHRACYCLINE,안트라사이클린
DRUG_CLASS_SET,10000001049,BTK_INHIBITOR,BTK 억제제
DRUG_CLASS_SET,10000001050,CHECKPOINT_INHIBITOR,면역관문억제제
PFT_ITEM,10000001051,FEV1,1초간노력성호기량(FEV1)
PFT_ITEM,10000001052,FVC,노력성폐활량(FVC)
PFT_ITEM,10000001053,FEV1_FVC,FEV1/FVC 비
PFT_ITEM,10000001054,DLCO,폐확산능(DLCO)
ALCOHOL,10000001055,AUDIT_TOTAL,AUDIT 총점
ALCOHOL,10000001056,DRINKS_PER_DAY,1일 음주량(잔)
ALCOHOL,10000001057,DRINKS_PER_WEEK,주간 음주량(잔)
